"Landlord Code","Property Code","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Negotiator","Property Type","Furnishment Type","Management Type","Tenancy Type","Date First Inspected","Take Over Date","Insurance Premium Due Date","Ground Rent Due Date","Service Charge Due Date","Gas Appliance Inspection Date","Electrical Appliance Inspection Date","Internal Decoration Date","External Decoration Date","Previous EPC Date","EPC Due Date","Previous EICR Date","EICR Due Date"
"6PENCC","10HG","10 Heol Y Garth","Penparcau","Aberystwyth","","Sy23 1TE"," ","","","","","","","","","","","","","","","","","",
"6PENCC","12QCCC","12 Queens Council Tax","","","",""," ","","","","<None>","","","","","","","","","","","","","",
"6PENCC","CCC","Council Taxe Due - Various","","","",""," ","","","","<None>","","","","","","","","","","","","","",
"8CAM18","8C18","Council Taxes Paid","","","",""," ","","","","<None>","","","","","","","","","","","","","",
"AB","12L","12 Llanbadarn Road","Aberystwyth","","","Sy23 1EJ"," ","","","","","","","","","","","","","","","","","",
"AB","BHBH","","","","",""," ","","","","<None>","","","","","","","","","","","","","",
"AD","36PI","36 Pentre Isaf","Llanrhystud","","","Sy23 5DB"," ","","","","","","","","","","","","","","","","","",
"AEDS","E1G","Ground Floor Flat","10 North Road","Aberystwyth","","SY23 2EL","","","Furnished","Managed","Assured Shorthold","","","","","","","","","","","","","",
"AH30TW","30TW","30 TUDOR WAY","HAVERFORDWEST","","","SA61 1HU"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AHH","11CBS","11 Chalybeate Street","Aberystwyth","","","SY23 1HS"," ","","Furnished","Managed","","","","","","","","","","","","","","",
"AHH","11CBS2","Flat 1","11 Chalybeate Street","Aberystwyth","","SY23 1HS"," ","","Furnished","Managed","","","","","","","","","","","","","","",
"AHH2","57BRID","57 Bridge Street","Aberystwyth","","","Sy23 1QB"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AHH3","FEL1","1 Felindre","Lon Hendre","Waunfawr","Aberystwyth","Sy23 3PZ"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AHH3","FEL2","2 Felindre","Lon Hendre","Waunfawr","Aberystwyth","sy233pZ"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AHH3","FEL3","3 Felindre","Lon Hendre","Waunfawr","Aberystwyth","sy233pZ"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AHH3","FEL4","4 Felindre","Lon Hendre","Waunfawr","Aberystwyth","Sy23 3PY"," ","","Furnished","Managed","","","","","","","","","","","","","","",
"AJEN","6US1","F1 6 Union Street","Aberystwyth","","","SY23 1NX"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AJEN","6US2","Gnd 6 Union St","Aberystwyth","","","SY23 1HE"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AJEN","9LLAN1","F1 9 Llanbadarn Rd","Aberystwyth","","","SY23 1EJ"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AJEN","9LLAN2","F2 9 LLanbadarn Rd","Aberystwyth","","","SY23 1EJ"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AJEN2","6UNIF1","Ground Floor Flat","6 Union Street","Aberystwyth","","SY23 1NX"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"ALHP2","5MAESA","5 Maes Afallen","Bow Street","","","SY24 5BL"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"ALHP2","ABCEUF","Aberceulan Flat","James Street","Talybont","","SY24 5EY"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"ALHP2","ABCEUL","Aberceulan House","James Street","Talybont","","SY24 5EY"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"ALHP2","HAULW","Haulwen ","Penparcau Road ","Penparcau","Aberystwyth","SY23 1RR"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"ALLHHS","11HIGH","11 HIGH STREET","","","Aberystwyth","SY23 1JG"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"ALP","A1P","1 Bronpadarn Stables","Bronpadarn Mansion","Primrose Hill","Llanbadarn Fawr,SY23","3AT."," ","","Furnished","Managed","Assured Shorthold","","","","","","","","","","","","","",
"ALP","A2P","2 Bron Padarn Stables","Primrose Hill","Llanbadarn Fawr","Aberystwyth, SY23","3AT.","","","UnFurnished","Managed","Assured Shorthold","21/03/1999","21/09/1998","","","","","","","","","","","",
"ALP","A3P","3 BronPadarn Stables","BronPadarn Mansion","Primrose Hill","Llanbadarn, SY23","3AT.","","","Furnished","Managed","Assured Shorthold","","","","","","","","","","","","","",
"ALP","A4P","Bronpadarn Mansion","Primrose Hill","LLanbadarn Fawr","Aberystwyth","Ceredigion    SY23 3SE"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"ALP","ALP","2nd Floor Flat","31 Chalybeate Street","","","","","","Furnished","","","","","","","","","","","","","","","",
"ALP","ALP2","1st Floor Flat","31 Chalybeate Street","Aberystwyth","Dyfed","SY23 1HX","","","Furnished","Managed","Assured Shorthold","01/08/1998","01/05/1995","","","","","","","","","","","",
"ALP","ALP4","Westminster Mews","24 High Street","Aberystwyth","Dyfed","SY23 1JG"," ","","Furnished","Managed","","18/12/1999","18/03/1996","","","","","","","","","","","",
"ALPINV","AF1","Flat 1","1 Queens Road","Aberystwyth","Ceredigion","SY23 2HH"," ","","Furnished","Managed","Assured Shorthold","18/09/2004","18/09/2004","","","","","","","","","","","",
"ALPINV","AF2","Flat 2 ","1 Queens Road","Aberystwyth","Ceredigion","SY23 2HH"," ","","Part Furnished","Managed","Assured Shorthold","18/09/2004","18/09/2004","","","","","","","","","","","",
"ALPINV","AF3","Flat 3","1 Queens Road","Aberystwyth","Ceredigion","SY23 2HH"," ","","Furnished","Managed","Assured Shorthold","18/09/2004","18/09/2004","","","","","","","","","","","",
"ALPINV","C4","Sandmarsh Cottage","1 Queens Road","Aberystwyth","","SY23 2HH","","","Furnished","Managed","Assured Shorthold","01/01/2000","01/07/1995","","","","","","","","","","","",
"ALS","8UPORT","8 Upper Portland","","Aberystwyth","","SY23 2DT"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"ALUOW","7CAER","7 Caergog Terrace","Aberystwyth","","","SY23 1EP"," ","Residential","Furnished","Managed","Short Assured Tenancy","04/06/2017","04/06/2017","","","","","","","","","","","",
"AM","2CP","2 Crown Place","Aberarth","Ceredigion","","Sa46 0LL"," ","","Furnished","Managed","","","","","","","","","","","","","","",
"ANNJON","BRYNG","Bryn Golau","Llanrhystud","Ceredigion","","SY23 5AD"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"ANNJON","CAEGWY","Cae Gwyn","Trefenter","Aberystwyth","Ceredigion","SY23 4HJ"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"ANNJON","MAESYM","Maes Y Meillion ","Llangwyrfon ","Aberystwyth ","","SY23 4EX"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AO","3BH","3 Bryn Hyfryd","Penant","","","SY23 5PH"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AS","18PS","18 Prospect Street","Aberystwyth","","","Sy23 1JJ"," ","","Furnished","Managed","","","","","","","","","","","","","","",
"AS","33G","33 Greenfield Street","Aberystwyth","SY23","","SY23 1PJ"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AS","4MM","4 Maesmaelor","","Penparcau","","SY23 1SZ"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"ASZ","28B","28 Bridge Street","Aberystwyth","","","SY23 1QB"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"ASZ","70C","70 Cambrian Street","Aberystwyth","","","SY23 1NZ"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AVUT24","AVOU24","Avondale Utilities","","","",""," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"AW8C","8CAM","8 Cambrian Place","Aberystwyth","","","SY23 1NT"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"BB","1PD","1 Plas Dyffryn","Parc Y Bryn","Aberystwyth","","Sy23 2DL"," ","","Furnished","Managed","","","","","","","","","","","","","","",
"BB","1PT","1 Plas Tudor","North Road","Aberystwyth","","Sy23 2AD"," ","","Furnished","Managed","","","","","","","","","","","","","","",
"BH","22PC","22 Padarn Crescent","Llanbadarn","Aberystwyth","","SY23 3QW"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"BHO","7LLYS","Ty Cart (number 7)","Waunfawr","Aberystwyth","","SY23 3NH"," ","","Furnished","Managed","<None>","","","","","","","","","","","","","",
"BHO","H1A","Flat A","Bridgend","LLanbadarn Fawr","Aberystwyth","SY23 3RA"," ","","Furnished","Managed","Assured Shorthold","","","","","","","","","","","","","",
"BHO","H1B","Flat B","Bridgend","LLanbadarn Fawr","Aberystwyth","SY23 3RA","","","Furnished","Managed","Assured Shorthold","","","","","","","","","","","","","",
"BHO","H1C","Flat C","Bridgend","LLanbadarn Fawr","Aberystwyth SY23","3RA.","","","Furnished","Managed","Assured Shorthold","","","","","","","","","","","","","",
"BHO","H1D","Flat D","Bridgend","LLanbadarn Fawr","Aberystwyth","SY23 3RA","","","Furnished","Managed","Assured Shorthold","","","","","","","","","","","","","",
